ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts,iso_prediction,iso_score_raw
5.190.157.178,2,2,2.0,2.0,0.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2562918291392541
5.196.79.49,4,2,1.3333333333333333,0.0040526849037487,329.0,4,11,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.25317342050099206
5.200.108.205,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053
5.200.112.161,13,7,3.25,0.0171277997364953,63.25,13,33,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.24531142890083724
5.200.115.66,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.27458555541544266
5.200.116.252,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.24763291631524303
5.200.123.195,2,2,2.0,0.1333333333333333,15.0,2,8,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.27420505226915814
5.200.125.141,2,2,2.0,0.6666666666666666,3.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.27051983536777646
5.202.0.203,14,14,14.0,0.3333333333333333,3.230769230769231,6,0,0,0.0,0.0,0.0,0.0,0.0714285714285714,4,0,0,0.0,0.0,0.0,1,0.0949954440735502
5.202.1.143,139,139,139.0,1.930555555555556,0.5217391304347826,132,101,0,0.0,0.0,0.0,0.0,0.0719424460431654,2,0,0,0.0,0.0,0.0,-1,-0.02525244895614842
5.202.208.229,2,2,2.0,0.1333333333333333,15.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2738215632615118
5.202.219.137,32,21,16.0,0.2119205298013245,4.870967741935484,28,42,0,0.0,0.0,0.0,1.0,0.0,4,0,0,0.0,0.0,0.0,1,0.19700991310369365
5.208.102.126,2,1,1.0,0.3333333333333333,6.0,2,6,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.24671644929458897
5.208.153.160,2,2,2.0,0.2222222222222222,9.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2742938169918009
5.208.165.4,60,60,60.0,0.5042016806722689,2.016949152542373,57,59,0,0.0,0.0,0.0,1.0,0.0,4,0,0,0.0,0.0,0.0,1,0.13639703099685285
5.208.170.196,8,4,2.6666666666666665,0.0160320641282565,71.28571428571429,8,18,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2553371780043493
5.208.178.30,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053
5.208.190.176,7,4,3.5,0.0124113475177304,94.0,7,16,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.25310378785593113
5.208.197.146,6,3,2.0,0.0087976539589442,136.4,6,15,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2558119432771603
5.208.209.1,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731
5.208.22.162,55,38,18.33333333333333,0.0226617222908941,44.94444444444444,48,54,0,0.0,0.0,0.0,1.0,0.0,6,0,0,0.0,0.0,0.0,1,0.14618767030206614
5.208.222.17,2,2,2.0,0.2857142857142857,7.0,2,6,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.24615128817939524
5.208.244.128,14,7,3.5,0.0167664670658682,64.23076923076923,14,32,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.24345478197903053
5.208.250.39,6,5,3.0,0.0465116279069767,25.8,6,12,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.26196723116631887
5.208.26.242,3,3,3.0,0.0379746835443038,39.5,3,11,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2690334103723687
5.208.27.157,17,17,17.0,3.4,0.3125,16,20,0,0.0588235294117647,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0,1,0.18434065392287757
